pdf_url,status,reason,source_file
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-16.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-17.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-18.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-19.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-23.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-24.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-29.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1946-30.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-3.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-4.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-5.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-6.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-8.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1947-28.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1948-39.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1949-46.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1959-43.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1959-35.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1971-07.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1974-2.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1983-20.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A1986-7.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/repealedfileopen?rfilename=A2009-9.pdf,404,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/ViewFileUploaded?path=AC_CEN_5_40_00009_195130_1517807327831/notificationindividualfile/&file=president%E2%80%99s_pension_%28amendment%29_rules%2C_2018%28g.s.r._488%28e%29%29.pdf,302,HTTP error,merged_links_indiaCode.csv
https://www.indiacode.nic.in/ViewFileUploaded?path=AC_CEN_2_11_00018_195631_1517807320796/regulationindividualfile/&file=life_insurance_corporation_of_india_shareholders_director_regulation%2C_2023.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_indiaCode.csv
https://www.indiacode.nic.in/ViewFileUploaded?path=AC_CEN_23_31_00005_197905_1517807325216/regulationindividualfile/&file=p27-31+%28CDB+Service+Regulations%29.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_indiaCode.csv
found_pdf_link,Exception,Invalid URL 'found_pdf_link': No scheme supplied. Perhaps you meant https://found_pdf_link?,merged_links_indiaCode.csv
https://www.indiacode.nic.in/bitstream/123456789/1988/3/H1999%20-42.pdf,404,HTTP error,merged_links_indiaCode.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023011257-1.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/Constitution%20of%20India_0.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/SC-JUN-2014.pdf,Exception,"HTTPSConnectionPool(host='lddashboard.legislative.gov.in', port=443): Max retries exceeded with url: /sites/default/files/SC-JUN-2014.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001605EB33E90>: Failed to resolve 'lddashboard.legislative.gov.in' ([Errno 11001] getaddrinfo failed)""))",merged_links_legislative.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023011890-1.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/CR-DEC-2020.pdf,Exception,"HTTPSConnectionPool(host='lddashboard.legislative.gov.in', port=443): Read timed out.",merged_links_legislative.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023010692-2.pdf,Exception,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/KA%20%2065%20of%201980.pdf,404,HTTP error,merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/SC-MAR-2021.pdf,404,HTTP error,merged_links_legislative.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023011993-1.pdf,503,HTTP error,merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/legislative_references/ORDINANCES%201976-1979.pdf,Exception,"('Connection broken: IncompleteRead(145489920 bytes read, 1635758 more expected)', IncompleteRead(145489920 bytes read, 1635758 more expected))",merged_links_legislative.csv
https://lddashboard.legislative.gov.in/sites/default/files/Dandik%20oct-dec%2C%202017.pdf,Exception,"HTTPSConnectionPool(host='lddashboard.legislative.gov.in', port=443): Max retries exceeded with url: /sites/default/files/Dandik%20oct-dec%2C%202017.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001605EB71F90>: Failed to resolve 'lddashboard.legislative.gov.in' ([Errno 11001] getaddrinfo failed)""))",merged_links_legislative.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2024/03/20240328794261026.pdf,Exception,"HTTPSConnectionPool(host='cdnbbsr.s3waas.gov.in', port=443): Max retries exceeded with url: /s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2024/03/20240328794261026.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001605EBC8B90>: Failed to resolve 'cdnbbsr.s3waas.gov.in' ([Errno 11001] getaddrinfo failed)""))",merged_links_legislative.csv
https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023011962.pdf,Exception,"HTTPSConnectionPool(host='cdnbbsr.s3waas.gov.in', port=443): Max retries exceeded with url: /s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/01/2023011962.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001605EB88A50>: Failed to resolve 'cdnbbsr.s3waas.gov.in' ([Errno 11001] getaddrinfo failed)""))",merged_links_legislative.csv
